codigo,sitio
1,JBB - Parque Simón Bolívar
2,Chico - Usaquén
3,Pásquilla
4,Lagunas de Bocagrande
5,Nazareth
6,San Juan
7,Chingaza - Valle de los Frailejones
8,Bosques Las Mercedes - Humedal y Cerro La Conejera
9,Laguna Torca
10,Cerros Orientales - Monserrate
11,Cerros Orientales - Umbral Cultural
12,Ciudad Montes
13,Parkway
14,Humedal El Techo
15,Humedal El Burro
16,Cerro Seco
17,Predio Buenos Aires - Doña Juana
18,Parque Timiza - Humedal Tingua Azul
19,Parque Tunal
20,Tierra Viva
21,ZUMA Bosa Apogeo
22,Verede Taquecitos - finca Media Naranja